label,number phaxs Thumb,number phaxs I,number phaxs M,number phaxs An,number phaxs A,length phax1 Thumb-I,length phax2 Thumb-I,length phax3 Thumb-I,length phax4 Thumb-I,length phax1 I-M,length phax2 I-M,length phax3 I-M,length phax4 I-M,length phax1 M-An,length phax2 M-An,length phax3 M-An,length phax4 M-An,length1 phax An-a,length2 phax An-a,length3 phax An-a,length4 phax An-a,angle1 thumb-I,angle2 thumb-I,angle3 thumb-I,angle1 I-M,angle2 I-M,angle3 I-M,angle1 M-An,angle2 M-An,angle3 M-An,angle1 An-a,angle2 An-a,angle3 An-a,position thumb-I,position I-M,position M-An,position An-a,length thumb,length I,length M,length An,length a,length phax1 thumb,length phax2 thumb,length phax3 thumb,length phax1 I,length phax2 I,length phax3 I,length phax1 M,length phax2 M,length phax3 M,length phax1 An,length phax2 An,length phax3 An,length phax1 a,length phax2 a,length phax3 a,sens phax1 thumb,sens phax2 thumb,sens phax3 thumb,sens phax1 I,sens phax2 I,sens phax3 I,sens phax1 M,sens phax2 M,sens phax3 M,sens phax1 An,sens phax2 An,sens phax3 An,sens phax1 a,sens phax2 a,sens phax3 a,width phax1 thumb,width phax2 thumb,width phax3 thumb,width phax1 I,width phax2 I,width phax3 I,width phax1 M,width phax2 M,width phax3 M,width phax1 An,width phax2 An,width phax3 An,width phax1 a,width phax2 a,width phax3 a,position thumb,position I,position M,position An,position a
1,4,4,4,4,4,30.23243291566195,45.254833995939045,53.53503525729669,60.92618484691127,13.038404810405298,21.540659228538015,27.784887978899608,33.28663395418648,14.142135623730951,17.46424919657298,11.704699910719626,9.055385138137417,15.297058540778355,19.313207915827967,22.135943621178654,24.166091947189145,81.69489047194962,77.16041159309584,71.16398441859779,56.95255459239646,55.95923498061898,55.75198404187103,56.02552404970833,25.841932763167126,16.82869211915824,88.31458695977737,64.41699802260149,53.48736790080602,gauche haut,gauche bas,gauche bas,gauche bas,41.34507664120184,29.848151734623304,33.45615087568879,25.45584412271571,27.382730764882083,13.601470508735444,14.142135623730951,13.601470508735444,15.524174696260024,7.615773105863909,6.708203932499369,19.1049731745428,7.0710678118654755,7.280109889280518,9.899494936611665,9.899494936611665,5.656854249492381,11.704699910719626,8.06225774829855,7.615773105863909,droite haut,droite haut,droite haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,11,10,8,4,3,3,13,7,7,7,7,4,11,7,7,130-150,60-80,20-60,20-60,20-60
2,4,4,4,4,4,31.622776601683793,49.57822102496216,62.00806399170998,73.57309290766564,13.601470508735444,20.615528128088304,27.202941017470888,30.265491900843113,10.63014581273465,17.804493814764857,21.095023109728988,22.47220505424423,15.524174696260024,26.30589287593181,34.23448553724738,47.095647357266465,73.41705767155983,78.28023969421123,78.09150828613843,45.55791319991721,39.34121872652286,30.155906991013527,38.376272907441844,32.485463347650864,23.957297470134325,64.17485956947397,56.6986122201567,57.273804555541155,droite haut,droite bas,droite bas,droite bas,42.39301416379975,38.541482450203034,53.24100885242408,49.27969766263308,42.10645416171101,18.601075237738275,13.892443989449804,9.899494936611665,19.697715603592208,8.94427190999916,9.899494936611665,24.08318915758459,13.601470508735444,15.556349186104045,21.95449840010015,11.704699910719626,15.620499351813308,19.0,11.704699910719626,11.40175425099138,gauche haut,gauche haut,gauche haut,droite haut,droite haut,droite haut,droite haut,droite haut,droite haut,droite haut,droite haut,droite haut,droite,droite bas,droite bas,15,12,7,8,4,7,16,11,11,19,11,12,19,11,11,20-60,,130-150,110-130,80-110
3,4,4,4,4,4,18.867962264113206,36.6742416417845,45.89117562233506,61.1310068623117,10.770329614269007,13.45362404707371,12.206555615733702,12.206555615733702,13.341664064126334,12.206555615733702,12.206555615733702,11.661903789690601,14.142135623730951,13.341664064126334,17.26267650163207,20.0,73.27620100399945,60.242047910317595,65.54727379380023,34.41730827803247,19.380900127136275,14.103259187469412,27.485986015186405,18.350835541353696,10.38986253347442,27.541540452457536,23.78604690730517,18.893749549260182,gauche bas,gauche bas,gauche bas, bas,53.68947799937051,42.16863121522478,48.82576827986422,58.561206542831485,44.483987533512604,17.08800749063506,23.0,13.601470508735444,19.1049731745428,11.40175425099138,11.661903789690601,23.021728866442675,14.142135623730951,11.661903789690601,28.0178514522438,14.142135623730951,16.401219466856727,20.615528128088304,11.661903789690601,12.206555615733702,droite haut,droite haut,droite haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,gauche haut,6,6,4,14,9,10,19,10,10,23,10,13,16,10,10,150-180,20-60,20-60,20-60,20-60
4,4,4,4,4,4,28.653097563788805,48.91829923454004,51.088159097779204,51.86520991955976,14.560219778561036,21.095023109728988,21.633307652783937,22.80350850198276,15.652475842498529,18.439088914585774,19.79898987322333,19.697715603592208,14.560219778561036,21.18962010041709,23.706539182259394,26.0,76.19240826538531,64.717396956688,53.82842970128966,55.582611289558436,43.867436538781185,36.55930573411923,56.285185268992194,51.16600395479703,47.15635695640366,58.411864494798834,54.77421500530782,54.64582626498734,gauche haut,gauche bas,gauche bas,gauche bas,42.77086109844487,36.20360331117452,26.67605098286451,33.02271554554524,29.37156235693425,18.027756377319946,13.038404810405298,11.704699910719626,22.20360331117452,7.0,7.0,16.55294535724685,6.0,4.123105625617661,22.02271554554524,4.0,7.0,20.248456731316587,5.0,4.123105625617661,droite haut,droite haut,droite haut,gauche haut,droite haut,droite haut,gauche haut,droite haut,droite haut,gauche haut,droite haut,droite haut,gauche haut,gauche haut,droite haut,15,7,4,3,3,3,7,7,4,14,14,14,17,4,1,130-150,80-110,80-110,60-80,20-60
